AnalysisMode	Contrast	plotContrast	Metabolite	Ratio_Change	FoldChange	pValue	padj	Regulation
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.120/503.16202	0.4231078257154279	-1.2409027251552152	0.03891156462585034	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.187/506.72448	2.284857006367789	1.1921038796556551	0.045714285714285714	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.149/507.14638	0.38604954005988873	-1.3731421007288862	0.03578231292517007	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.485/516.71841	0.21866773284435104	-2.193187746471678	0.005850340136054422	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.269/518.61563	0.35451078463271557	-1.4960985782844225	0.03428571428571429	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.277/518.75230	0.44152408321411796	-1.1794359621416561	0.04829931972789116	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.134/523.12740	2.594866808351816	1.3756604885400776	0.047619047619047616	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	0.577/536.88139	0.2795911621306208	-1.8386093370060674	0.01673469387755102	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.136/537.11831	0.33623048826554863	-1.572477545580287	0.02108843537414966	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.143/543.05781	2.3901937057425457	1.2571275416327794	0.03918367346938775	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	4.745/544.40135	0.30615658776357335	-1.7076583680863338	0.014965986394557823	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.200/546.13489	2.419936630982876	1.27496926925039	0.030612244897959183	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	4.810/546.41688	0.29594719975056205	-1.7565882888061708	0.023401360544217688	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.493/549.80339	0.3514586043071148	-1.5085733198933038	0.048435374149659864	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.310/550.79829	2.813963827608331	1.4926037834196872	0.025170068027210883	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	1.277/558.28884	4.169149288909567	2.059753033099363	0.0023129251700680273	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.154/558.28911	0.4724923222559398	-1.0816372083753982	0.045306122448979594	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.952/558.29900	2.359581676110709	1.238531110733272	0.042993197278911564	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	0.458/566.05915	2.6756378044404143	1.4198828345505707	0.018367346938775512	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.143/567.10145	2.46434287058257	1.301202995998733	0.03972789115646259	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.635/568.26850	0.3407948852924507	-1.5530244113734617	0.04462585034013605	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	4.677/575.28216	0.35653032242294674	-1.487903313733232	0.029387755102040815	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	5.085/579.31302	0.3606857920150836	-1.4711855006864558	0.04272108843537415	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.518/581.29361	0.2868688232782609	-1.8015369094432916	0.024081632653061225	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	0.682/594.18015	0.44358190705560946	-1.172727573241392	0.04421768707482993	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	0.785/601.13553	0.4400653697198938	-1.1842102493969446	0.04204081632653061	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.719/604.12241	0.29685756952113895	-1.7521571942740344	0.024489795918367346	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	3.277/604.12324	0.33029483345158794	-1.5981736920579568	0.02585034013605442	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	1.044/605.37203	3.320667381372009	1.7314732207998065	0.01292517006802721	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.719/606.11950	0.31967169523804384	-1.6453370859816028	0.030476190476190476	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.702/617.36766	2.432083069027572	1.2821925056019972	0.03374149659863945	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.560/625.32205	0.2706912737383566	-1.8852797146758862	0.020816326530612245	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	1.148/627.35539	3.7446892501979376	1.9048460028497178	0.034421768707482994	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	1.042/627.35733	3.4179454596131134	1.7731293760153752	0.010884353741496598	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	0.727/631.30020	2.710012163236346	1.4382993267826074	0.021904761904761906	0	Up-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.649/631.34877	0.30705482261019784	-1.7034318326250144	0.020136054421768707	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	0.638/640.17645	0.3529887470503825	-1.502305902420304	0.018095238095238095	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.635/640.29777	0.43659833176844026	-1.1956214770506335	0.04285714285714286	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	2.470/640.36958	0.38019459813244594	-1.395190060804357	0.03564625850340136	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	0.777/641.27189	0.3922743401992226	-1.350065127247205	0.028979591836734694	0	Down-regulated
RP_Negative	AC9.1_v_AC9.3	AC9.1 vs AC9.3	1.043/641.35173	3.313580406435496	1.7283909278822172	0.011020408163265306	0	Up-regulated
