Metabolite Clone1 Clone2 log2FC plotContrast
1.075/84.08086 AC9.2 AC9.3 -0.2019 "AC9.2 vs AC9.3"
1.075/84.08086 AC9.1 AC9.2 -0.1318 "AC9.1 vs AC9.2"
2.280/85.02773 AC9.1 E30 -0.55911 "AC9.1 vs E30"
2.280/85.02773 AC9.2 E30 -0.44819 "AC9.2 vs E30"
2.280/85.02773 AC9.3 E30 -0.13413 "AC9.3 vs E30"
2.280/85.02773 AC9.1 AC9.3 -0.42498 "AC9.1 vs AC9.3"
2.280/85.02773 AC9.2 AC9.3 -0.31406 "AC9.2 vs AC9.3"
2.280/85.02773 AC9.1 AC9.2 -0.11092 "AC9.1 vs AC9.2"
1.269/85.02791 AC9.1 E30 -0.47532 "AC9.1 vs E30"
1.269/85.02791 AC9.2 E30 -0.55217 "AC9.2 vs E30"
1.269/85.02791 AC9.3 E30 -0.28567 "AC9.3 vs E30"
1.269/85.02791 AC9.1 AC9.3 -0.18965 "AC9.1 vs AC9.3"
1.269/85.02791 AC9.2 AC9.3 -0.26649 "AC9.2 vs AC9.3"
1.269/85.02791 AC9.1 AC9.2 0.076842 "AC9.1 vs AC9.2"
1.360/85.83548 AC9.1 E30 0.29522 "AC9.1 vs E30"
1.360/85.83548 AC9.2 E30 0.071622 "AC9.2 vs E30"
1.360/85.83548 AC9.3 E30 0.30462 "AC9.3 vs E30"
1.360/85.83548 AC9.1 AC9.3 -0.009398 "AC9.1 vs AC9.3"
1.360/85.83548 AC9.2 AC9.3 -0.233 "AC9.2 vs AC9.3"
1.360/85.83548 AC9.1 AC9.2 0.2236 "AC9.1 vs AC9.2"
0.796/86.05953 AC9.1 E30 -0.9739 "AC9.1 vs E30"
0.796/86.05953 AC9.2 E30 -1.0789 "AC9.2 vs E30"
0.796/86.05953 AC9.3 E30 -0.38248 "AC9.3 vs E30"
0.796/86.05953 AC9.1 AC9.3 -0.59142 "AC9.1 vs AC9.3"
0.796/86.05953 AC9.2 AC9.3 -0.69644 "AC9.2 vs AC9.3"
0.796/86.05953 AC9.1 AC9.2 0.10502 "AC9.1 vs AC9.2"
1.981/86.05993 AC9.1 E30 0.050512 "AC9.1 vs E30"
1.981/86.05993 AC9.2 E30 0.21369 "AC9.2 vs E30"
1.981/86.05993 AC9.3 E30 0.36249 "AC9.3 vs E30"
1.981/86.05993 AC9.1 AC9.3 -0.31197 "AC9.1 vs AC9.3"
1.981/86.05993 AC9.2 AC9.3 -0.14879 "AC9.2 vs AC9.3"
1.981/86.05993 AC9.1 AC9.2 -0.16318 "AC9.1 vs AC9.2"
2.730/86.09621 AC9.1 E30 0.15863 "AC9.1 vs E30"
2.730/86.09621 AC9.2 E30 0.0037143 "AC9.2 vs E30"
2.730/86.09621 AC9.3 E30 0.39807 "AC9.3 vs E30"
2.730/86.09621 AC9.1 AC9.3 -0.23944 "AC9.1 vs AC9.3"
2.730/86.09621 AC9.2 AC9.3 -0.39435 "AC9.2 vs AC9.3"
2.730/86.09621 AC9.1 AC9.2 0.15491 "AC9.1 vs AC9.2"
1.368/86.09691 AC9.1 E30 -0.0076752 "AC9.1 vs E30"
1.368/86.09691 AC9.2 E30 0.011309 "AC9.2 vs E30"
1.368/86.09691 AC9.3 E30 0.054933 "AC9.3 vs E30"
1.368/86.09691 AC9.1 AC9.3 -0.062609 "AC9.1 vs AC9.3"
1.368/86.09691 AC9.2 AC9.3 -0.043624 "AC9.2 vs AC9.3"
1.368/86.09691 AC9.1 AC9.2 -0.018984 "AC9.1 vs AC9.2"
0.798/87.04414 AC9.1 E30 -1.2813 "AC9.1 vs E30"
0.798/87.04414 AC9.2 E30 -0.85307 "AC9.2 vs E30"
0.798/87.04414 AC9.3 E30 -0.45956 "AC9.3 vs E30"
0.798/87.04414 AC9.1 AC9.3 -0.82174 "AC9.1 vs AC9.3"
0.798/87.04414 AC9.2 AC9.3 -0.3935 "AC9.2 vs AC9.3"
0.798/87.04414 AC9.1 AC9.2 -0.42824 "AC9.1 vs AC9.2"
0.800/88.03897 AC9.1 E30 -0.61882 "AC9.1 vs E30"
0.800/88.03897 AC9.2 E30 -1.2598 "AC9.2 vs E30"
0.800/88.03897 AC9.3 E30 -0.30556 "AC9.3 vs E30"
0.800/88.03897 AC9.1 AC9.3 -0.31326 "AC9.1 vs AC9.3"
0.800/88.03897 AC9.2 AC9.3 -0.95427 "AC9.2 vs AC9.3"
0.800/88.03897 AC9.1 AC9.2 0.64101 "AC9.1 vs AC9.2"
0.807/90.05474 AC9.1 E30 -0.31435 "AC9.1 vs E30"
0.807/90.05474 AC9.2 E30 -0.39213 "AC9.2 vs E30"
0.807/90.05474 AC9.3 E30 0.16879 "AC9.3 vs E30"
0.807/90.05474 AC9.1 AC9.3 -0.48313 "AC9.1 vs AC9.3"
0.807/90.05474 AC9.2 AC9.3 -0.56091 "AC9.2 vs AC9.3"
0.807/90.05474 AC9.1 AC9.2 0.07778 "AC9.1 vs AC9.2"
0.644/91.01294 AC9.1 E30 -0.20903 "AC9.1 vs E30"
0.644/91.01294 AC9.2 E30 -0.06945 "AC9.2 vs E30"
0.644/91.01294 AC9.3 E30 -0.015305 "AC9.3 vs E30"
0.644/91.01294 AC9.1 AC9.3 -0.19372 "AC9.1 vs AC9.3"
0.644/91.01294 AC9.2 AC9.3 -0.054145 "AC9.2 vs AC9.3"
0.644/91.01294 AC9.1 AC9.2 -0.13958 "AC9.1 vs AC9.2"
1.019/92.04933 AC9.1 E30 -0.27519 "AC9.1 vs E30"
