AnalysisMode	Contrast	plotContrast	Metabolite	Ratio_Change	FoldChange	pValue	padj
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.974/162.89404	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.557/163.02518	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.741/163.03910	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.605/163.07501	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.346/163.56125	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.684/164.07044	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.996/164.07171	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.345/164.07223	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.972/164.89062	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.736/165.01926	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	3.027/165.01967	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	5.885/165.04058	0.4592673797601988	-1.1225937775367565	0.11491935483870967	0
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.802/165.04184	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.820/165.06659	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.814/166.04426	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.061/166.05175	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.459/166.97481	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.960/166.98400	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.577/167.02081	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	3.535/167.14433	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	1.793/168.05985	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.788/168.06062	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.692/168.07678	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.571/168.07803	NA	NA	NA	NA
