"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"2.529/166.08710",0.0033315,-0.012177,0.0044562,0.025468,0.0050552,0.017687,0.010826,-0.0043673,0.0039598,0.013376,0.0052147,0.001945
"1.723/168.05947",-0.020093,0.00018895,0.0041281,0.012808,0.027359,0.037351,0.010221,0.013441,0.019996,0.010075,0.015634,0.00044843
"1.301/169.03489",-0.00015906,0.018804,-0.03149,-0.014675,0.0074287,-0.0083989,0.027589,-0.012048,0.002378,-0.014097,0.0047726,-0.0011659
"2.134/170.06638",-0.01058,0.0056342,0.018395,-0.0091358,-0.0050491,0.015078,0.010945,0.016213,-0.030818,-0.0050668,0.0010606,-0.00045102
"1.105/170.07449",-0.016548,-0.0020287,0.002805,0.0075859,0.0050082,0.037406,-0.014819,-0.040262,-0.0010156,-0.0078197,0.017267,0.0045249
"1.720/170.07470",-0.017085,0.0043772,0.0019588,0.014301,0.020844,0.044429,0.017866,0.0068797,0.016194,0.0070262,0.0082462,0.0040278
"1.236/170.07826",-0.014715,-0.025601,-0.012234,0.0022977,-0.026166,0.02045,-0.011435,-0.0084564,-0.019208,0.040697,0.01698,-0.0070284
"3.107/172.00619",0.006009,-0.011223,0.035104,-0.01203,0.0065911,0.031927,-0.0072896,-0.047404,-0.013424,0.012388,-0.013622,-0.0029835
"1.091/175.02302",-0.003424,-0.020106,-0.0060671,-0.0081561,-0.0059101,0.0055315,0.022292,-0.032044,-0.026694,-0.021458,0.017607,0.00084874
"0.773/175.11890",0.023169,0.027892,-0.034954,-0.00098732,0.001597,-0.024932,0.010168,0.018119,-0.001929,0.0066017,-0.022518,0.00027421
"1.013/176.01058",-0.020961,-0.0017627,-0.022406,0.0080228,-0.012677,-0.00222,-0.0015138,0.029933,0.027707,0.0094913,-0.0018271,-0.0036195
"1.477/176.03695",-0.0057972,-0.014958,0.018896,-0.014558,0.012001,0.012332,0.0056206,0.018975,-0.013777,0.016073,-0.016084,-0.002838
"0.842/177.03966",-0.054311,-0.029867,-0.0049703,-0.062632,-0.012321,0.02018,0.015607,-0.030969,0.013277,0.010518,-0.00055455,0.00013111
"0.807/178.01397",0.010633,0.015249,-0.023956,-0.0084532,-0.0038283,-0.010936,-0.016073,0.0075082,0.0065164,0.0016019,0.019965,0.00019361
"2.680/181.06452",-0.018568,-0.0052482,-0.019075,-0.0080038,0.016344,0.015187,-0.017866,-0.0020367,-0.025567,-0.010058,0.013001,-0.0013943
"1.373/182.08191",-0.0055591,0.0042121,0.0065009,0.012622,0.0007473,0.01868,0.021499,0.002895,0.012415,-0.0055935,-0.021281,0.00011626
"0.619/182.96317",0.010033,0.0081371,-0.00068003,0.01204,0.011198,0.019181,-0.014339,-0.0097291,-0.019428,-0.01036,0.0070933,-0.00054936
"0.879/183.51051",-0.012761,0.023647,-0.0051252,0.0069613,-0.018588,0.0091923,0.019459,0.0073512,-0.0040874,-0.0041243,-0.016919,0.0038104
"0.878/184.07418",-0.0056484,0.026589,-0.01528,0.018265,-0.0097579,0.015977,0.003846,-0.003315,-0.0044894,0.0016156,0.0089662,0.0045581
"0.822/184.10842",0.0019755,-0.01871,0.036059,0.018209,0.0050107,0.0052781,-0.0059988,-0.010668,-0.024923,-0.041995,-0.0173,-0.0023689
"0.619/184.96096",0.0085782,0.011473,-0.0003495,0.015481,0.0072784,0.016967,-0.0045815,0.0033851,-0.016311,-0.012765,-0.0083525,0.0013859
"1.105/185.03769",-0.016264,0.0027181,-0.011196,-0.0020577,0.0064292,0.017415,0.0078548,-0.03791,9.6726e-05,0.014993,-0.0059447,0.0032184
"0.808/186.01580",0.0084768,0.029934,-0.025028,0.013475,-0.012588,0.013172,-0.008058,0.017499,-0.018925,0.011413,0.010736,-0.0027213
