"",f.value,p.value,-log10(p),FDR,Fisher's LSD
4.402/288.07865,14.12,0.00064593,3.1898,0.0064907,AC9.2 - AC9.1; AC9.3 - AC9.1; E30 - AC9.1; QC - AC9.1; E30 - AC9.2; E30 - AC9.3; E30 - QC
0.760/281.16392,14.084,0.00065205,3.1857,0.0064907,AC9.3 - AC9.1; AC9.1 - E30; AC9.1 - QC; AC9.3 - AC9.2; AC9.2 - E30; AC9.3 - E30; AC9.3 - QC
0.727/284.13085,14.074,0.00065388,3.1845,0.0064907,AC9.1 - AC9.3; E30 - AC9.1; AC9.2 - AC9.3; E30 - AC9.2; E30 - AC9.3; QC - AC9.3; E30 - QC
4.605/380.20538,14.07,0.00065452,3.1841,0.0064907,AC9.1 - E30; AC9.3 - AC9.2; AC9.2 - E30; AC9.3 - E30; QC - E30
1.150/485.36573,14.054,0.00065748,3.1821,0.0064907,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.2 - AC9.3; E30 - AC9.2; E30 - AC9.3; QC - AC9.3
5.116/577.33244,13.89,0.00068713,3.163,0.006744,AC9.1 - AC9.3; AC9.1 - E30; AC9.1 - QC; AC9.2 - AC9.3; AC9.2 - E30; AC9.2 - QC
1.107/159.06447,13.869,0.00069108,3.1605,0.006744,AC9.3 - AC9.1; E30 - AC9.1; AC9.3 - AC9.2; E30 - AC9.2; QC - AC9.2; AC9.3 - QC; E30 - QC
0.569/147.11604,13.846,0.0006954,3.1578,0.0067473,AC9.1 - AC9.2; E30 - AC9.1; AC9.3 - AC9.2; E30 - AC9.2; QC - AC9.2; E30 - AC9.3; E30 - QC
4.687/263.63493,13.816,0.00070106,3.1542,0.0067636,AC9.2 - AC9.1; AC9.3 - AC9.1; AC9.1 - E30; AC9.2 - E30; AC9.3 - E30; QC - E30
4.833/70.06374,13.535,0.00075726,3.1208,0.0072645,AC9.1 - AC9.2; AC9.3 - AC9.1; AC9.3 - AC9.2; E30 - AC9.2; QC - AC9.2; AC9.3 - E30; AC9.3 - QC
4.407/147.11206,13.408,0.00078438,3.1055,0.0074825,AC9.2 - AC9.1; E30 - AC9.1; QC - AC9.1; E30 - AC9.2; E30 - AC9.3; E30 - QC
1.393/207.20748,13.148,0.00084379,3.0738,0.0080042,AC9.1 - E30; AC9.2 - E30; AC9.3 - E30; QC - E30
4.439/339.09704,13.091,0.0008577,3.0667,0.0080909,AC9.2 - AC9.1; AC9.3 - AC9.1; E30 - AC9.1; QC - AC9.1; AC9.3 - QC
