Sample	QC_I	AC9.3_I	AC9.3_II	AC9.1_I	AC9.1_II	pPTGE30_I	AC9.2_I	pPTGE30_II	AC9.3_III	AC9.1_III	pPTGE30_III	AC9.2_III	AC9.2_II	QC_II
Label	QC	AC9.3	AC9.3	AC9.1	AC9.1	E30	AC9.2	E30	AC9.3	AC9.1	E30	AC9.2	AC9.2	QC
4.433/143.02604	0	3930	4995	3173	3221	3998	3814	3992	5629	3045	4190	3036	3023	0
1.994/143.02633	0	733	2765	1596	2149	1819	151	1057	5522	1766	888	881	976	0
1.122/143.08072	0	961	1429	1308	1405	2352	1323	827	2529	1481	834	1737	918	0
3.668/143.11663	0	620	1044	258	359	350	302	367	547	248	560	363	332	0
5.296/143.60895	0	1231	1209	674	833	330	534	426	1147	629	346	601	556	0
2.485/143.65749	0	0	0	9390	3781	0	0	0	0	4282	0	0	0	0
4.672/144.03886	0	1121	1285	3417	3041	1904	2083	1726	1481	2382	1226	1570	2014	0
3.677/144.04646	0	28986	47775	581	3108	830	5552	735	31234	389	894	6104	8641	0
0.652/144.06384	0	3933	4067	2301	3215	1399	2684	2472	3790	3983	2232	4779	2948	0
5.699/144.06419	0	592	728	962	400	1038	3783	1793	1345	1059	1606	3985	2918	0
5.006/144.06420	0	0	0	0	0	0	1327	0	0	0	0	1229	733	0
1.575/144.10047	0	4451	3885	4871	4371	5508	4552	4656	2936	4499	4446	4278	4312	0
0.775/144.10057	0	7337	6177	8210	4356	6078	5789	6969	6779	6414	5381	6763	4491	0
0.644/144.10057	0	362	329	2830	731	1397	478	648	2472	1183	664	501	974	0
1.221/144.10065	0	7225	7318	7252	8632	7751	7194	7805	5862	8516	7370	8042	7062	0
1.277/144.10081	0	7612	6999	7270	8650	7648	8129	7863	5831	8534	7388	8060	7080	0
3.673/144.10086	0	46	163	1712	1359	191	98	97	66	2260	214	32	41	0
1.765/144.10092	0	2369	2529	4340	2327	4729	3624	5359	1492	3440	5982	2644	2018	0
1.994/144.10112	0	0	0	97016	288646	542	0	529	0	229035	667	0	0	0
2.496/144.10199	0	445	417	2012421	704707	1190	974	4705	764	869047	756	446	243	0
4.427/144.11246	0	2978	3012	2891	2556	1900	2225	1638	2697	1797	1703	2389	1922	0
4.363/144.13705	0	6554	6415	6317	5529	5835	5853	5958	6633	6952	5694	6958	5916	0
0.703/144.13720	0	2729	1788	1961	2213	1116	2192	1328	1145	1995	1642	2243	1542	0
4.437/144.14763	0	5127	8222	1016	785	6273	1263	4028	6212	655	4609	1705	828	0
3.670/144.61728	0	2321	2901	1978	4224	1606	1175	2582	2852	2525	2464	907	2280	0
0.660/145.04827	0	1041	1486	923	852	1395	1115	893	884	915	1414	828	779	0
