Sample	True.blank.start	Single.blank	QC.1	AC9.3_I	AC9.3_II	AC9.1_II	AC9.1_III	pPTGE30_I	AC9.2_I	pPTGE30_II	AC9.3_III	AC9.1_I	pPTGE30_III	AC9.2_III	AC9.2_II	QC.2	True.blank.end
Label	BLANK	BLANK	QC	AC9.3	AC9.3	AC9.1	AC9.1	pPTGE30	AC9.2	pPTGE30	AC9.3	AC9.1	pPTGE30	AC9.2	AC9.2	QC	BLANK
0.867/141.01736	1051	1448	19710	23823	22901	18281	21248	17785	18165	17830	14551	17029	17237	17936	16670	16905	964	1154.1875
2.125/141.99651	0	0	1278	520	938	1302	1675	863	650	570	1303	1834	411	842	723	893	0	0
2.134/142.06649	0	0	7600	6644	4400	6471	8213	4976	5475	6602	4422	7693	7312	6404	7817	5876	0	0
0.565/142.99856	0	0	5230	5370	1346	5213	4903	3033	7984	6562	72	6461	9921	7389	4760	4226	0	0
0.569/143.03504	0	0	517	887	695	607	444	704	696	1023	1168	655	556	645	544	520	0	0
2.123/143.03516	0	0	328	884	1363	170	162	466	168	1084	456	168	242	354	184	243	0	0
1.060/144.01259	0	0	5382	6317	1508	4492	4542	1280	4932	3274	460	6094	3966	7815	9763	4970	0	0
2.695/144.04558	0	58	8142	5334	3974	10403	10506	6206	8070	8702	5110	11231	7980	10467	8739	9396	0	19.4166666666667
0.593/144.06695	0	36	7770	8015	6522	8703	8931	4622	7921	6851	5872	8434	7331	7626	7049	7182	0	12.0833333333333
2.125/145.06144	0	0	774	145	489	1682	1691	956	1246	737	592	1886	1349	1053	1486	600	0	0
0.561/145.06161	0	1507	71324	50807	40476	67400	87790	78011	62708	52429	56768	92808	104062	58325	62805	62915	0	502.333333333333
0.460/145.06162	0	0	2721	2457	1360	4666	3502	964	4281	532	3007	3458	2242	4420	4945	4029	0	0
0.737/145.63010	0	0	7356	5941	3363	8998	9117	5975	5922	6972	3608	4708	6516	8652	7404	6276	0	0
2.735/146.04552	0	0	1407	1752	728	2286	2517	1432	1756	1767	655	2531	1942	2247	1696	1903	0	0
0.552/146.04559	0	0	100420	104822	76855	111412	107991	97710	104256	126067	82851	124459	114679	94186	98727	96162	0	0
1.339/146.04587	0	0	9475	9973	7709	10007	9245	9845	8309	10322	5364	10082	8234	7790	8235	7252	0	0
6.033/146.04659	0	0	430	312	344	576	583	826	1222	1243	490	900	715	1362	987	1717	0	0
0.735/146.08285	0	0	1284401	823311	593758	1421752	1789886	1108276	1097923	1132410	691739	857138	1094944	1595359	1333281	1149636	0	0
1.345/147.04559	0	0	45056	46512	38934	44909	52735	39294	43520	37267	36406	44727	39140	46819	41108	39676	0	0
0.637/147.06695	0	137	31737	40392	28747	26408	28868	22353	24488	24679	28546	29346	22747	23508	23922	25964	0	45.7083333333333
0.644/148.04470	0	0	72790	72554	54084	85855	67456	62350	69539	90210	45687	87498	64296	60559	66287	69092	0	0
0.979/148.06338	0	0	5373	8523	12960	3096	4236	3790	3520	2151	9684	4025	1597	3013	4468	7072	0	0
0.781/148.06341	0	0	2600	5943	3321	3118	3126	1816	2144	1552	4506	2715	1563	3323	3147	2536	0	0
0.744/149.02731	0	0	3205	3721	6705	2986	5059	3929	2397	2592	5835	3340	3557	2941	2762	5207	0	0
1.198/149.04662	0	0	10413	8279	6217	9356	10188	7893	11399	7931	4098	10621	7322	13132	12344	9747	0	0
2.124/149.04710	0	0	3677	4330	4921	5079	4122	2700	2699	3160	2994	5603	2558	3050	3535	2979	0	0
0.639/150.04048	0	0	3202	3530	1811	4002	3096	2501	2979	4477	1564	3649	2843	3547	2733	3040	0	0
1.365/150.04147	0	0	1543	1669	946	1561	2065	1405	1415	1044	1458	1650	1150	1832	1268	1611	0	0
0.577/150.99798	0	0	414	639	797	146	208	2600	361	430	805	200	237	211	319	755	0	0
0.814/151.02144	0	0	23029	13197	29912	23143	30560	23394	7497	11708	33408	37991	12461	15812	20955	21250	0	0
0.924/151.02156	0	0	816	724	796	741	1020	186	437	1514	252	2637	1072	2017	1427	1069	0	0
2.146/151.02162	0	0	1563	100	9975	445	982	2136	0	629	25923	2148	263	217	316	1163	0	0
2.836/151.07670	0	0	15494	12660	10581	12277	12449	12874	13716	13085	12809	11700	12504	12146	9703	11485	0	0
1.047/151.11178	0	0	6538	5166	4520	6770	5058	5270	4037	6194	3640	5575	5651	4814	4328	5840	0	0
0.555/152.97852	0	0	2854	2297	2436	3734	3170	1807	4902	3442	2176	4005	4456	3499	3275	3622	0	0
0.812/153.01661	0	0	858	611	880	823	1034	1265	269	348	1353	1796	969	431	956	1018	0	0
0.577/153.02826	0	98	755	507	624	1037	891	937	999	833	1027	662	1041	1030	971	656	0	32.8333333333333
0.785/153.03734	0	0	2178	2554	1685	2411	2793	1318	2176	2268	1232	2039	1738	2421	2423	2077	0	0
1.048/153.09273	0	0	2240	2682	1620	2831	2197	2065	1470	1983	847	2249	2041	1606	1798	2045	0	0
0.560/153.54120	0	0	4772	4074	3731	3326	3258	3464	4036	4340	3715	3875	4965	3362	4052	3356	0	0
2.132/154.01724	0	0	6237	6232	5830	6191	6625	8927	5454	7622	6055	6669	8891	7129	8048	8514	0	0
0.727/154.01792	0	0	59034	58208	49486	52841	53887	63782	56493	63775	38950	47321	55092	59628	58199	49331	0	0
0.969/154.01800	0	0	41014	36100	28442	37261	33382	41781	39531	43168	22829	30705	38666	38409	38370	35027	0	0
1.348/154.01849	0	0	17964	15961	14239	14674	14739	17300	17646	19344	10650	13751	17762	17816	15780	16063	0	0
0.560/154.01880	0	93	678274	733204	616886	552406	514797	739408	775963	827004	690217	521094	824315	685059	687724	662071	0	30.875
2.692/154.04442	0	0	6221	5292	4720	9921	12444	4138	5718	10918	4772	9629	4516	10526	10596	8085	0	0
0.485/154.06319	0	3022	20632	18287	15817	27421	29211	19367	20539	16997	17860	29430	19713	20321	17517	19525	0	1007.27083333333
2.135/155.00138	0	0	15338	11386	9916	15005	14219	15410	15660	16642	9644	14124	14751	14504	17314	13693	0	0
2.738/155.00170	0	0	7197	6462	4880	8643	10486	7434	10432	8690	4009	9893	8951	9720	9787	9627	0	0
3.010/155.00197	0	0	2054	1884	991	2035	2236	2389	2706	2353	1339	2942	2608	7403	11123	4457	0	0
6.027/155.00199	12	0	1862	2112	1462	1928	2435	2462	2867	2411	917	2561	2151	2449	2864	1728	0	4.16666666666667
0.730/155.00213	0	0	148095	123315	92640	128409	140730	132093	138462	140377	67124	127218	126263	152801	138566	129364	0	0
0.938/155.00245	0	0	84296	72320	51597	88624	89574	81947	90630	90303	40764	80776	84840	92792	84412	69914	0	0
1.342/155.00246	0	0	25053	22787	18367	22761	23968	23866	25476	23653	12292	23806	23844	24444	24919	22545	0	0
0.551/155.00271	0	0	1098601	1054408	903918	1034475	1276153	1055778	1443760	1183316	923122	1276609	1432116	1355166	1384291	1038296	0	0
0.823/155.03198	0	0	1280	1592	1880	980	605	1155	704	1345	618	754	1411	582	781	912	0	0
0.827/156.99223	1324	1992	9663	10077	9373	8612	9574	10356	8872	12434	8165	7445	10165	7597	7162	8313	1354	1556.8125
0.702/156.99248	1153	2040	7419	6774	6227	5696	6642	6778	7415	6889	6097	6598	5986	7248	6085	6229	1095	1429.29166666667
0.552/156.99835	1022	2765	50101	46619	39670	46783	46664	47152	57387	52397	38793	51328	58016	51326	60544	45222	1187	1658.16666666667
0.631/157.03515	0	0	2307	2195	2815	1797	2396	2620	2131	2291	2617	2284	2566	2718	2698	2509	0	0
2.027/157.03525	0	0	692	755	936	651	859	617	1082	1139	1599	1143	1026	1105	1555	1520	49	16.25
0.569/157.06228	0	0	1957	2345	2510	2353	2820	1537	3357	1472	2242	2272	1362	1802	1816	1729	0	0
0.577/158.05909	0	0	1904	1879	4332	1338	1192	2825	1436	2092	3596	1142	1950	2429	1849	2754	0	0
0.600/158.11845	0	88	2162	2013	1554	2384	2303	2708	1951	3026	1440	2453	2490	2566	2049	2161	0	29.3541666666667
0.819/158.11885	58	30	3317	4119	3820	2437	3640	4957	3019	5052	1670	2135	4829	2746	3004	3226	0	29.4166666666667
0.457/158.92596	0	0	1332	965	797	1577	1853	1731	1522	2094	1616	1547	2260	1363	1338	1160	0	0
1.992/159.01482	0	0	2373	2180	3240	2663	3086	3078	2906	3206	3334	2918	2959	3820	4246	3339	85	28.4166666666667
0.862/159.01498	0	0	3643	4414	4406	3818	4149	3929	3972	3949	5573	4197	4184	5065	5636	5126	0	0
0.632/159.01527	0	0	3178	4061	4708	3836	4113	3230	3924	3906	6602	4124	4340	5001	4630	4756	0	0
2.133/159.09318	0	0	8364	5147	4549	7005	7006	5639	5945	5344	5056	5982	5711	6936	6222	6164	0	0
0.585/160.06138	0	273	2107	2602	1622	2218	3385	1309	2052	1840	1576	3712	2231	2490	2253	1946	0	90.9583333333333
1.202/160.09790	0	0	1648	3112	0	168	4408	0	4421	0	0	0	0	5361	4735	1734	0	0
1.366/160.09844	0	0	1378	1658	2152	960	743	1943	1724	1393	1144	1192	1206	1202	1677	1524	0	0
2.177/160.84167	51	112	2457	1775	2499	2972	3291	3045	2764	3222	3129	2919	3212	2983	3181	2803	130	97.6041666666667
2.734/160.84196	459	442	4928	4701	3943	4172	3652	2775	3623	3283	2350	2777	2874	2469	2900	2372	52	317.854166666667
3.018/160.84260	492	396	1192	1169	1771	1327	1427	870	609	982	868	1339	798	3389	4681	2080	165	351.020833333333
0.973/160.89713	0	0	7229	10052	9532	4337	6350	6965	4383	4497	9381	6240	4180	5154	5743	6629	0	0
0.577/161.04509	0	0	14587	22205	26534	16895	10551	11079	11437	21244	19582	11334	12967	13934	12242	15011	0	0
2.124/161.04595	0	0	16106	29217	37229	9940	4880	17211	7609	29090	17592	8541	7225	12090	7278	17890	0	0
0.769/161.04676	0	0	2216	3988	5586	2504	1319	2731	1895	3772	4110	2094	1818	1609	1644	2680	0	0
1.049/162.04230	0	0	18557	17719	16849	21028	18831	16670	14983	17344	13087	18430	12932	14037	13569	19133	0	0
2.931/162.05590	0	0	1324	2265	2538	1063	1180	3011	633	1891	2347	1756	1896	1071	1414	2312	0	0
0.646/162.07690	0	4104	7514	5626	6318	9637	7637	9514	6223	7971	7883	10104	6568	5907	5994	8003	0	1367.91666666667
2.724/162.83797	305	462	4107	4291	3663	3256	3874	2514	3540	2749	2158	2801	2633	2874	2910	2119	131	299.25
2.184/162.83929	65	51	1398	1778	2049	2391	3274	2598	1937	2600	2878	2800	2693	3382	2621	2942	60	58.6666666666667
0.974/162.89404	0	0	6896	10394	9989	4199	7276	7689	4349	4965	9013	7178	3775	4794	5359	6504	0	0
0.557/163.02518	0	0	11387	5986	7517	11269	12126	12260	7138	9456	7374	11301	6633	8214	7360	8513	0	0
0.741/163.03910	0	0	8454	9339	8626	9345	7402	7969	8327	7647	10221	10400	7391	7042	7184	9860	0	0
2.605/163.07501	0	0	1189	0	0	0	0	0	0	0	0	0	0	15312	0	1214	0	0
